item_id,target,relative_path,expected_filename,sha256,size_bytes,revision,status,allowed_use,blocking_gate_or_note
PCB002,PCBA,TBD/ANT-PCB-EVT-A-R01_NC_Drill.zip,ANT-PCB-EVT-A-R01_NC_Drill.zip,TBD,TBD,R01,MISSING_BLOCKING,"None","NC drill data absent"
PCB003,PCBA,TBD/ANT-PCB-EVT-A-R01_IPC356.ipc,ANT-PCB-EVT-A-R01_IPC356.ipc,TBD,TBD,R01,MISSING_BLOCKING,"None","IPC-356 netlist absent"
PCB004,PCBA,TBD/ANT-PCB-EVT-A-R01_BOM.csv,ANT-PCB-EVT-A-R01_BOM.csv,TBD,TBD,R01,MISSING_BLOCKING,"None","Approved line-item BOM absent"
PCB005,PCBA,TBD/ANT-PCB-EVT-A-R01_CPL.csv,ANT-PCB-EVT-A-R01_CPL.csv,TBD,TBD,R01,MISSING_BLOCKING,"None","Pick-and-place absent"
PCB006,PCBA,TBD/ANT-PCB-EVT-A-R01_Fabrication.pdf,ANT-PCB-EVT-A-R01_Fabrication.pdf,TBD,TBD,R01,MISSING_BLOCKING,"None","Stack-up/impedance drawing absent"
PCB007,PCBA,TBD/ANT-PCB-EVT-A-R01_Assembly.pdf,ANT-PCB-EVT-A-R01_Assembly.pdf,TBD,TBD,R01,MISSING_BLOCKING,"None","Assembly/polarity drawing absent"
PCB008,PCBA,TBD/ANT-PCB-EVT-A-R01_Paste.zip,ANT-PCB-EVT-A-R01_Paste.zip,TBD,TBD,R01,MISSING_BLOCKING,"None","Paste data absent"
PCB009,mechanical,TBD/ANT-PCB-EVT-A-R01_Populated.step,ANT-PCB-EVT-A-R01_Populated.step,TBD,TBD,R01,MISSING_BLOCKING,"None","Actual populated PCB STEP absent"
PCB010,engineering,TBD/ANT-PCB-EVT-A-R01_Schematic.pdf,ANT-PCB-EVT-A-R01_Schematic.pdf,TBD,TBD,R01,MISSING_BLOCKING,"None","Annotated schematic absent"
PCB011,engineering,TBD/ANT-PCB-EVT-A-R01_ERC.pdf,ANT-PCB-EVT-A-R01_ERC.pdf,TBD,TBD,R01,MISSING_BLOCKING,"None","Unfiltered ERC report absent"
PCB012,engineering,TBD/ANT-PCB-EVT-A-R01_DRC.pdf,ANT-PCB-EVT-A-R01_DRC.pdf,TBD,TBD,R01,MISSING_BLOCKING,"None","Unfiltered DRC report absent"
PCB013,PCBA,TBD/ANT-PCB-EVT-A-R01_Panel.pdf,ANT-PCB-EVT-A-R01_Panel.pdf,TBD,TBD,R01,MISSING_BLOCKING,"None","Manufacturer-approved panel absent"
PCB014,PCBA,TBD/ANT-PCB-EVT-A-R01_DFM.pdf,ANT-PCB-EVT-A-R01_DFM.pdf,TBD,TBD,R01,MISSING_BLOCKING,"None","Assembler DFM closure absent"
FW001,firmware,TBD/ANT-FW-EVT-A-R01.bin,ANT-FW-EVT-A-R01.bin,TBD,TBD,R01,MISSING_BLOCKING,"None","Production nRF54L15 firmware absent"
FW002,test,TBD/ANT-FACTORY-TEST-R01.zip,ANT-FACTORY-TEST-R01.zip,TBD,TBD,R01,MISSING_BLOCKING,"None","Factory test software absent"
BAT001,battery,TBD/BAT-ANT-200-001_ApprovedPack.pdf,BAT-ANT-200-001_ApprovedPack.pdf,TBD,TBD,R01,MISSING_BLOCKING,"None","Signed max-27x12.5x6 pack drawing/NTC absent"
BAT002,compliance,TBD/BAT-ANT-200-001_UN38.3.pdf,BAT-ANT-200-001_UN38.3.pdf,TBD,TBD,R01,MISSING_BLOCKING,"None","Pack-applicable UN38.3 summary absent"
BAT003,compliance,TBD/BAT-ANT-200-001_IEC62133-2.pdf,BAT-ANT-200-001_IEC62133-2.pdf,TBD,TBD,R01,MISSING_BLOCKING,"None","Applicable safety evidence absent"
BAT004,compliance,TBD/BAT-ANT-200-001_SDS.pdf,BAT-ANT-200-001_SDS.pdf,TBD,TBD,R01,MISSING_BLOCKING,"None","Current SDS absent"
MECH001,mechanical,TBD/ANT-MECH-R01_ReleasedDrawings.zip,ANT-MECH-R01_ReleasedDrawings.zip,TBD,TBD,R01,MISSING_BLOCKING,"None","Released GD&T/material/finish/seal/acoustic drawings absent"
TEST001,final_assembly,TBD/ANT-EOL-FIXTURE-R01_Released.zip,ANT-EOL-FIXTURE-R01_Released.zip,TBD,TBD,R01,MISSING_BLOCKING,"None","Released and calibrated EOL fixture absent"
